
SPDR S&P 500 ETF Trust,Last: 450.81,Change:  3.85
"Date: September 14, 2023 at 4:31 PM EDT",Bid: 450.81,Ask: 450.83,Size: 9*11,"Volume: 71,039,449"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Sep 14 2023,SPY230914C00360000,90.42,4.025,90.7,90.86,1,0,1,0,3,360.00,SPY230914P00360000,0.01,0,0,0.01,0,0,0,0,26
Thu Sep 14 2023,SPY230914C00370000,78.5,2.105,80.7,80.87,1,0,1,0,71,370.00,SPY230914P00370000,0.01,0,0,0.01,0,0,0,0,87
Thu Sep 14 2023,SPY230914C00380000,68.22,1.815,70.71,70.87,2,0,1,0,30,380.00,SPY230914P00380000,0.01,0,0,0.01,0,0,0,0,205
Thu Sep 14 2023,SPY230914C00381000,0,0,69.2,70.4,0,0,1,0,0,381.00,SPY230914P00381000,0.01,0,0,0.01,0,0,0,0,99
Thu Sep 14 2023,SPY230914C00382000,0,0,68.19,69.4,0,0,1,0,0,382.00,SPY230914P00382000,0.01,0,0,0.01,0,0,0,0,219
Thu Sep 14 2023,SPY230914C00383000,62.36,0,67.2,68.4,0,0,1,0,1,383.00,SPY230914P00383000,0.01,0,0,0.01,0,0,0,0,219
Thu Sep 14 2023,SPY230914C00384000,0,0,66.2,67.4,0,0,1,0,0,384.00,SPY230914P00384000,0.01,0,0,0.01,0,0,0,0,256
Thu Sep 14 2023,SPY230914C00385000,63.12,1.715,65.2,66.4,2,0,1,0,32,385.00,SPY230914P00385000,0.01,0,0,0.01,0,0,0,0,351
Thu Sep 14 2023,SPY230914C00386000,0,0,64.2,65.4,0,0,1,0,0,386.00,SPY230914P00386000,0,0,0,0.01,0,0,0,0,0
Thu Sep 14 2023,SPY230914C00387000,0,0,63.2,64.4,0,0,1,0,0,387.00,SPY230914P00387000,0.01,0,0,0.01,0,0,0,0,8
Thu Sep 14 2023,SPY230914C00388000,0,0,62.2,63.4,0,0,1,0,0,388.00,SPY230914P00388000,0,0,0,0.01,0,0,0,0,0
Thu Sep 14 2023,SPY230914C00389000,0,0,61.2,62.4,0,0,1,0,0,389.00,SPY230914P00389000,0,0,0,0.01,0,0,0,0,0
Thu Sep 14 2023,SPY230914C00390000,58,0,60.2,61.4,0,0,1,0,20,390.00,SPY230914P00390000,0.02,0,0,0.01,0,0,0,0,53
Thu Sep 14 2023,SPY230914C00391000,0,0,59.19,60.4,0,0,1,0,0,391.00,SPY230914P00391000,0,0,0,0.01,0,8.5187,0,0,0
Thu Sep 14 2023,SPY230914C00392000,0,0,58.2,59.4,0,0,1,0,0,392.00,SPY230914P00392000,0,0,0,0.01,0,8.3772,0,0,0
Thu Sep 14 2023,SPY230914C00393000,0,0,57.2,58.4,0,0,1,0,0,393.00,SPY230914P00393000,0,0,0,0.01,0,8.2359,0,0,0
Thu Sep 14 2023,SPY230914C00394000,0,0,56.2,57.4,0,0,1,0,0,394.00,SPY230914P00394000,0.01,0,0,0.01,0,8.0948,0,0,355
Thu Sep 14 2023,SPY230914C00395000,53.66,0,55.2,56.4,0,0,1,0,20,395.00,SPY230914P00395000,0.01,0,0,0.01,0,7.9539,0,0,322
Thu Sep 14 2023,SPY230914C00396000,0,0,54.2,55.4,0,0,1,0,0,396.00,SPY230914P00396000,0.03,0,0,0.01,0,7.8132,0,0,63
Thu Sep 14 2023,SPY230914C00397000,52.32,2.905,53.19,54.4,6,0,1,0,6,397.00,SPY230914P00397000,0.02,0,0,0.01,0,7.6727,0,0,3
