
S&P 500 Mini-SPX Options Index,Last: 450.51,Change:  3.77
"Date: September 14, 2023 at 4:30 PM EDT",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Sep 14 2023,XSP230914C00270000,0,0,179.34,181.64,0,0,0,0,0,270.00,XSP230914P00270000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00280000,0,0,169.34,171.64,0,0,0,0,0,280.00,XSP230914P00280000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00290000,0,0,159.34,161.64,0,0,0,0,0,290.00,XSP230914P00290000,0.01,0,0,0.02,0,0,0,0,13
Thu Sep 14 2023,XSP230914C00300000,0,0,149.07,151.91,0,0,0,0,0,300.00,XSP230914P00300000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00310000,0,0,139.34,141.64,0,0,0,0,0,310.00,XSP230914P00310000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00320000,0,0,129.34,131.64,0,0,0,0,0,320.00,XSP230914P00320000,0.01,0,0,0.02,0,0,0,0,2
Thu Sep 14 2023,XSP230914C00330000,0,0,119.34,121.64,0,0,0,0,0,330.00,XSP230914P00330000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00340000,0,0,109.34,111.64,0,0,0,0,0,340.00,XSP230914P00340000,0.14,0,0,0.02,0,0,0,0,1
Thu Sep 14 2023,XSP230914C00350000,0,0,99.34,102.25,0,0,0,0,0,350.00,XSP230914P00350000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00360000,0,0,89.34,91.64,0,0,0,0,0,360.00,XSP230914P00360000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00365000,0,0,84.34,86.64,0,0,0,0,0,365.00,XSP230914P00365000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00370000,0,0,79.34,81.64,0,0,0,0,0,370.00,XSP230914P00370000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00375000,0,0,74.34,76.64,0,0,0,0,0,375.00,XSP230914P00375000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00380000,60.5,0,69.34,71.64,0,0,0,0,2,380.00,XSP230914P00380000,0.06,0,0,0.02,0,0,0,0,1
Thu Sep 14 2023,XSP230914C00381000,0,0,68.34,70.64,0,0,0,0,0,381.00,XSP230914P00381000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00382000,0,0,67.34,69.64,0,0,0,0,0,382.00,XSP230914P00382000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00383000,0,0,66.34,68.64,0,0,0,0,0,383.00,XSP230914P00383000,0,0,0,0.02,0,0,0,0,0
Thu Sep 14 2023,XSP230914C00384000,0,0,65.34,67.64,0,0,0,0,0,384.00,XSP230914P00384000,0,0,0,0.02,0,0,0,0,0
